# Cities: name, latitude, longitude
Lakhnau, Tbilisi, 3257.7
Lakhnau, Aurangabad, 724.8
Lakhnau, Sofia, 5226.2
Lakhnau, Omsk, 2832.7
Lakhnau, Navi Mumbai, 883.7
Lakhnau, Allahabad, 132.8
Lakhnau, Samara, 3313.0
Lakhnau, Sholapur, 805.2
Lakhnau, Kazan, 3500.6
Lakhnau, Irbil, 2968.3
Lakhnau, Xianyang, 2413.3
Lakhnau, Baoding, 2911.1
Lakhnau, Kunming, 1718.8
Lakhnau, Taizhong, 3314.7
Lakhnau, Datong, 2689.0
Lakhnau, Jabalpur, 303.0
Lakhnau, Visakhapatnam, 784.2
Lakhnau, Rostov-na-Donu, 3388.2
Lakhnau, Dnipropetrovs'k, 3845.3
Lakhnau, Shubra-El-Khema, 4133.9
Lakhnau, Srinagar, 671.4
Lakhnau, Benxi, 3725.5
Lakhnau, al-Madinah, 3791.3
Lakhnau, Chelyabinsk, 2731.7
Lakhnau, Haora, 677.3
Lakhnau, Ranchi, 412.8
Lakhnau, Songnam, 4171.9
Lakhnau, Ufa, 3084.4
Lakhnau, Klang, 2795.1
Lakhnau, Chandigarh, 450.6
Lakhnau, Ahvaz, 2837.5
Lakhnau, Koyampattur, 1385.1
Lakhnau, Qom, 2384.3
Lakhnau, Odesa, 4131.1
Lakhnau, Donetsk, 3583.0
Lakhnau, Jodhpur, 525.0
Lakhnau, Kitakyushu, 4578.1
Lakhnau, Huaibei, 2684.3
Lakhnau, Perm, 3229.5
Lakhnau, Changzhou, 3005.1
Lakhnau, Maisuru, 1239.0
Lakhnau, Guwahati, 789.1
Lakhnau, Volgograd, 3296.6
Lakhnau, Konya, 4227.4
Lakhnau, Vijayawada, 909.3
Lakhnau, Ulsan, 4076.7
Lakhnau, Chiba, 5164.7
Lakhnau, Padang, 3014.6
Lakhnau, Gwalior, 218.9
Lakhnau, Biskek, 1390.0
Lakhnau, Kathmandu, 334.5
Lakhnau, Qiqihar, 3645.3
Lakhnau, Ulaanbaatar, 2798.0
Lakhnau, Krasnoyarsk, 2654.7
Lakhnau, Madurai, 1333.7
Lakhnau, Asgabat, 1965.5
Lakhnau, al-Hartum Bahri, 4911.9
Lakhnau, Bandar Lampung, 4121.4
Lakhnau, Pingdingshan, 2553.1
Lakhnau, Hubli, 1079.5
Lakhnau, Wenzhou, 3161.0
Lakhnau, Johor Bahru, 3398.9
Lakhnau, Mombasa, 4824.1
Lakhnau, Abu Dhabi, 2342.2
Lakhnau, Jalandhar, 543.0
Lakhnau, Taian, 3161.6
Lakhnau, ad-Dammam, 2465.3
Lakhnau, Mira Bhayandar, 826.4
Lakhnau, Salem, 1282.3
Lakhnau, Hims, 3396.1
Lakhnau, Bhubaneswar, 685.0
Lakhnau, Hamamatsu, 4846.6
Lakhnau, Saratov, 3534.4
Lakhnau, Kirkuk, 2985.2
Lakhnau, Sakai, 5043.0
Lakhnau, Quetta, 1089.0
Lakhnau, Aligarh, 228.4
Lakhnau, Voronezh, 3578.9
Lakhnau, Bogor, 4222.2
Lakhnau, Niigata, 4892.1
Lakhnau, Thiruvananthapuram, 1669.2
Lakhnau, Bareli, 165.1
Lakhnau, Cebu, 4505.2
Lakhnau, Kota, 379.2
Lakhnau, Shihung, 3804.7
Lakhnau, Puchon, 4032.3
Lakhnau, Tiruchchirappalli, 1477.7
Lakhnau, Sharjah, 1874.7
Lakhnau, Kermanshah, 2869.4
Lakhnau, Qinhuangdao, 3194.7
Lakhnau, Anyang (China), 2847.4
Lakhnau, Bhiwandi, 938.6
Lakhnau, an-Najaf, 3049.7
Lakhnau, Nanning, 2087.3
Lakhnau, Antalya, 4024.4
Lakhnau, Zaporizhzhya, 4270.4
Lakhnau, Hohhot, 2529.2
Lakhnau, Moradabad, 222.9
Lakhnau, Zhangjiakou, 2655.7
Lakhnau, Liuzhou, 2200.2
Lakhnau, Rajshahi, 644.2
Lakhnau, Yantai, 3457.9
Lakhnau, Tainan, 3359.0
Lakhnau, Xining, 1935.4
Lakhnau, Hegang, 3954.1
Lakhnau, Malang, 4468.0
Lakhnau, Hengyang, 2360.7
Lakhnau, Athens, 5167.7
Lakhnau, Puyang, 2986.6
Lakhnau, Jerusalem, 3964.5
Lakhnau, Xinxiang, 2462.6
Lakhnau, Raipur, 441.2
Lakhnau, L'viv, 4979.3
Lakhnau, Pekan Baru, 2907.6
Lakhnau, Kayseri, 4056.1
Lakhnau, Tolyatti, 3183.7
Lakhnau, Foshan, 2757.1
Lakhnau, Ningbo, 3595.8
Lakhnau, Langfang, 2791.9
Lakhnau, Ampang Jaya, 2771.3
Lakhnau, Liaoyang, 3672.4
Lakhnau, Riga, 4948.6
Lakhnau, Changzhi, 2661.3
Lakhnau, Kryvyy Rih, 4358.2
Lakhnau, Chonju, 3733.0
Lakhnau, as-Sulaymaniyah, 2733.8
Lakhnau, Zamboanga, 4189.4
Lakhnau, Gorakhpur, 183.9
Lakhnau, Zhuzhou, 2701.7
Lakhnau, Huangshi, 2688.0
Lakhnau, Shaoguan, 2594.6
Lakhnau, Guilin, 2388.4
Lakhnau, Shizuoka, 4651.3
Lakhnau, Fuxin, 3397.5
Lakhnau, Ipoh, 2693.1
Lakhnau, Dushanbe, 1399.3
Lakhnau, Zhanjiang, 2683.0
Lakhnau, Xingtai, 2558.3
Lakhnau, Okayama, 4563.5
Lakhnau, Yogyakarta, 4738.5
Lakhnau, Bhilai, 413.1
Lakhnau, Zigong, 1965.2
Lakhnau, Mudanjiang, 3935.0
Lakhnau, Colombo, 1812.6
Lakhnau, Shatian, 2880.7
Lakhnau, Kumamoto, 4588.1
Lakhnau, Zhangdian, 2974.4
Lakhnau, Xiangtan, 2755.0
Lakhnau, Dasmarinas, 3665.3
Lakhnau, Nantong, 3025.2
Lakhnau, Shaoyang, 2637.8
Lakhnau, Islamabad, 871.5
Lakhnau, Panjin, 3516.8
Lakhnau, Ansan, 3916.6
Lakhnau, Jamshedpur, 501.9
Lakhnau, Dandong, 3863.6
Lakhnau, Haikou, 2431.2
Lakhnau, 'Adan, 3305.6
Lakhnau, Amravati, 542.6
Lakhnau, Sagamihara, 5115.0
Lakhnau, Zhangzhou, 3027.5
Lakhnau, Gazzah, 3847.1
Lakhnau, Kataka, 669.8
Lakhnau, Krasnodar, 3692.7
Lakhnau, Kuching, 3639.0
Lakhnau, Asmara, 3921.4
Lakhnau, Zhenjiang, 3037.7
Lakhnau, Mersin, 3553.0
Lakhnau, Izhevsk, 3273.4
Lakhnau, Yancheng, 3289.2
Lakhnau, Yuanlong, 2583.4
Lakhnau, Ulyanovsk, 3713.2
Lakhnau, Hai Phong, 2369.1
Lakhnau, Anyang (South Korea), 3814.0
Lakhnau, Dadiangas, 4632.6
Lakhnau, Chongju, 4264.5
Lakhnau, al-'Ayn, 1895.2
Lakhnau, Bikaner, 506.9
Lakhnau, Taizhou, 3475.8
Lakhnau, Antipolo, 3765.0
Lakhnau, Xiamen, 3405.2
Lakhnau, Yingkou, 3292.4
Lakhnau, Kagoshima, 4134.1
Lakhnau, Siping, 3642.9
Lakhnau, Orumiyeh, 3067.0
Lakhnau, Luancheng, 2771.8
Lakhnau, Diyarbakr, 3277.4
Lakhnau, Yaroslavl, 4451.2
Lakhnau, Banjarmasin, 4491.6
Lakhnau, Chisinau, 4803.8
Lakhnau, Djibouti, 3586.5
Lakhnau, Khabarovsk, 4482.8
Lakhnau, Jinzhou, 3221.4
Lakhnau, Bengbu, 3178.6
Lakhnau, Irkutsk, 3079.5
Lakhnau, Shihezi, 1541.7
Lakhnau, Bhavnagar, 771.9
Lakhnau, Port Said, 4471.9
Lakhnau, Jiangmen, 2750.4
Lakhnau, Barnaul, 2584.9
Lakhnau, Vladivostok, 4619.3
Lakhnau, Eskisehir, 4127.0
Lakhnau, Warangal, 807.1
Lakhnau, Zahedan, 1520.2
Lakhnau, Kaifeng, 2886.2
Lakhnau, Funabashi, 4804.0
Lakhnau, Shah Alam, 2802.4
Lakhnau, Maoming, 2669.3
Lakhnau, Hachioji, 5057.4
Lakhnau, Hamhung, 3868.5
Lakhnau, Sargodha, 736.4
Lakhnau, Resht, 2783.9
Lakhnau, Cangzhou, 3214.8
Lakhnau, Tanggu, 3199.1
Lakhnau, Helsinki, 5196.6
Lakhnau, Changde, 2453.0
Lakhnau, at-Ta'if, 3628.6
Lakhnau, Surakarta, 4426.4
Lakhnau, Xigong, 2791.5
Lakhnau, Shiliguri, 589.4
Lakhnau, Jiamusi, 4643.0
Lakhnau, Huaiyin, 3174.9
Lakhnau, Kolhapur, 1016.7
Lakhnau, Ulhasnagar, 892.9
Lakhnau, Rajpur, 601.4
Lakhnau, Maanshan, 2979.4
Lakhnau, Banqiao, 3323.3
Lakhnau, Kota Kinabalu, 3503.5
Lakhnau, Vilnius, 5031.8
Lakhnau, Ajmer, 433.9
Lakhnau, Orenburg, 3050.0
Lakhnau, Neijiang, 1930.0
Lakhnau, Guntur, 790.8
Lakhnau, Novokuznetsk, 2272.3
Lakhnau, Yangzhou, 3019.4
Lakhnau, Durgapur, 586.9
Lakhnau, Shashi, 2435.4
Lakhnau, Petaling Jaya, 2942.9
Lakhnau, Sangli-Miraj, 1022.3
Lakhnau, Dehra Dun, 363.8
Lakhnau, Jiaozuo, 2638.0
Lakhnau, Zhuhai, 2908.8
Lakhnau, Nanded, 644.3
Lakhnau, Suez, 3940.5
Lakhnau, Tyumen, 3193.9
Lakhnau, Cagayan, 4437.8
Lakhnau, Uijongbu, 3809.6
Lakhnau, Yueyang, 2608.2
Lakhnau, Ta'izz, 3682.3
Lakhnau, Naberezhnyye Chelny, 3548.9
Lakhnau, Kerman, 1982.2
Lakhnau, Matsuyama, 4556.7
Lakhnau, Jamnagar, 984.7
Lakhnau, Jammu, 627.3
Lakhnau, Gulbarga, 836.5
Lakhnau, Bahawalpur, 631.4
Lakhnau, Zhunmen, 2927.8
Lakhnau, Bhatpara, 616.5
Lakhnau, Ryazan, 3875.9
Lakhnau, Calamba, 3902.1
Lakhnau, Changwon, 4202.4
Lakhnau, Zunyi, 1987.2
Lakhnau, Lipetsk, 4141.3
Lakhnau, Saharanpur, 348.0
Lakhnau, Hamah, 3763.9
Lakhnau, Higashiosaka, 5100.2
Lakhnau, al-Hillah, 2985.4
Lakhnau, Xuchang, 2666.2
Lakhnau, Wuhu, 2855.4
Lakhnau, Mykolayiv, 4573.8
Lakhnau, Tabuk, 3647.3
Kiev, Rome, 1316.7
Kiev, Mashhad, 2046.4
Kiev, Kabul, 2858.9
Kiev, Umm Durman, 3298.9
Kiev, Nagpur, 4603.1
Kiev, Kano, 4346.4
Kiev, Benin, 4740.3
Kiev, Khartoum, 3267.0
Kiev, Paris, 1649.7
Kiev, Algiers, 2288.1
Kiev, Tashkent, 2547.9
Kiev, Bayrut, 1385.1
Kiev, Douala, 4811.5
Kiev, Kaduna, 4385.2
Kiev, Bucharest, 491.5
Kiev, Port Harcourt, 5167.5
Kiev, Rawalpindi, 3381.5
Kiev, San'a, 3342.7
Kiev, al-Basrah, 2129.0
Kiev, Indore, 4176.2
Kiev, Hamburg, 1170.2
Kiev, Rabat, 2939.7
Kiev, Minsk, 283.1
Kiev, Patna, 4463.9
Kiev, Bhopal, 4548.1
Kiev, Warsaw, 472.4
Kiev, Vienna, 753.8
Kiev, Yaounde, 5397.5
Kiev, Dubai, 2661.4
Kiev, Thana, 4186.9
Kiev, Aleppo, 1169.5
Kiev, Budapest, 593.5
Kiev, Bamako, 5342.7
Kiev, Ludhiana, 3873.3
Kiev, Esfahan, 2306.7
Kiev, Barcelona (Spain), 1734.4
Kiev, Muqdisho, 5339.8
Kiev, Damascus, 1608.1
Kiev, Agra, 4316.6
Kiev, Urumqi, 3606.6
Kiev, Multan, 3573.7
Kiev, Kampala, 5443.5
Kiev, Lome, 4905.2
Kiev, Hyderabad (Pakistan), 3639.1
Kiev, Vadodara, 3923.7
Kiev, Gujranwala, 3435.4
Kiev, Bursa, 789.3
Kiev, Pimpri, 4555.4
Kiev, Karaj, 1668.1
Kiev, Aba, 5405.2
Kiev, Kharkiv, 262.0
Kiev, Nashik, 4826.7
Kiev, Mecca, 2498.6
Kiev, Novosibirsk, 3023.7
Kiev, Adana, 1063.1
Kiev, Tabriz, 1479.4
Kiev, Faridabad, 4260.7
Kiev, Ghaziabad, 4116.9
Kiev, Peshawar, 2962.2
Kiev, Rajkot, 4263.4
Kiev, Almaty, 2742.0
Kiev, Munich, 1156.4
Kiev, Mirat, 4196.1
Kiev, Milan, 1374.9
Kiev, Kalyan, 4682.9
Kiev, Yekaterinburg, 1775.6
Kiev, Ouagadougou, 4831.6
Kiev, Stockholm, 914.5
Kiev, Gaziantep, 1291.4
Kiev, Nizhniy Novgorod, 899.0
Kiev, Shiraz, 2533.7
Kiev, Yerevan, 1245.5
Kiev, Tripoli, 2098.4
Kiev, Varanasi, 4363.8
Kiev, Baku, 1369.1
Kiev, Prague, 819.3
Kiev, Amritsar, 3817.1
Kiev, 'Amman, 1522.5
Kiev, Tbilisi, 1117.3
Kiev, Abuja, 4661.4
Kiev, Aurangabad, 4783.8
Kiev, Sofia, 765.1
Kiev, Omsk, 2424.0
Kiev, Navi Mumbai, 4750.7
Kiev, Allahabad, 4373.7
Kiev, Samara, 1119.5
Kiev, Belgrade, 643.5
Kiev, Sholapur, 4681.0
Kiev, Kazan, 1054.3
Kiev, Irbil, 1532.7
Kiev, Kbenhavn, 964.7
Kiev, Maiduguri, 4346.3
Kiev, Dublin, 2076.2
Kiev, Jabalpur, 4292.1
Kiev, Rostov-na-Donu, 577.8
Kiev, Dnipropetrovs'k, 266.1
Kiev, Shubra-El-Khema, 1656.7
Kiev, Srinagar, 3327.2
Kiev, Brussels, 1440.5
Kiev, al-Madinah, 2514.9
Kiev, Chelyabinsk, 1532.8
Kiev, Ranchi, 4704.7
Kiev, Ilorin, 4530.9
Kiev, Fez, 2685.1
Kiev, Ufa, 1427.9
Kiev, Chandigarh, 3618.1
Kiev, Ahvaz, 2186.8
Kiev, Cologne, 1335.9
Kiev, Qom, 1970.1
Kiev, Odesa, 299.0
Kiev, Donetsk, 400.5
Kiev, Jodhpur, 3913.4
Kiev, Perm, 1303.2
Kiev, Volgograd, 789.2
Kiev, Konya, 962.6
Kiev, Naples, 1195.0
Kiev, Birmingham, 1622.0
Kiev, Gwalior, 4425.8
Kiev, Biskek, 2843.6
Kiev, Kathmandu, 4548.9
Kiev, Niamey, 4394.0
Kiev, Ulaanbaatar, 5096.0
Kiev, Krasnoyarsk, 3229.2
Kiev, Asgabat, 1943.0
Kiev, al-Hartum Bahri, 3464.6
Kiev, Marrakesh, 3123.1
Kiev, Hubli, 5324.4
Kiev, Turin, 1366.7
Kiev, Abu Dhabi, 3006.9
Kiev, Jalandhar, 3990.9
Kiev, Warri, 5018.8
Kiev, Valencia (Spain), 2219.1
Kiev, Oslo, 1309.0
Kiev, ad-Dammam, 2397.0
Kiev, Mira Bhayandar, 4257.8
Kiev, Hims, 1453.4
Kiev, Saratov, 782.7
Kiev, Kirkuk, 1558.3
Kiev, Onitsha, 5234.1
Kiev, Quetta, 3129.9
Kiev, Aligarh, 4117.9
Kiev, Voronezh, 452.7
Kiev, Bareli, 3829.7
Kiev, Kota, 4409.3
Kiev, Sharjah, 3142.1
Kiev, Kermanshah, 1693.9
Kiev, Bhiwandi, 4412.3
Kiev, an-Najaf, 1925.7
Kiev, Antalya, 1244.9
Kiev, Zaporizhzhya, 290.2
Kiev, Marseille, 1470.9
Kiev, Moradabad, 4197.2
Kiev, Nouakchott, 4845.8
Kiev, Akure, 4514.4
Kiev, N'Djamena, 3913.2
Kiev, Cracow, 564.2
Kiev, Athens, 1095.5
Kiev, Jerusalem, 1540.2
Kiev, Amsterdam, 1464.6
Kiev, Lodz, 554.0
Kiev, Abeokuta, 4713.8
Kiev, Raipur, 4971.2
Kiev, Tunis, 1856.5
Kiev, L'viv, 337.4
Kiev, Cotonou, 5091.7
Kiev, Tangier, 2558.0
Kiev, Kayseri, 1124.8
Kiev, Tolyatti, 990.5
Kiev, Riga, 610.0
Kiev, Kryvyy Rih, 225.0
Kiev, as-Sulaymaniyah, 1451.4
Kiev, Gorakhpur, 4747.1
Kiev, Sevilla, 2553.9
Kiev, Zagreb, 887.7
Kiev, Benghazi, 1642.1
Kiev, Dushanbe, 2819.0
Kiev, Bhilai, 4835.3
Kiev, Wahran, 2655.3
Kiev, Enugu, 4843.5
Kiev, Zaria, 4381.5
Kiev, Islamabad, 3323.0
Kiev, Zaragoza, 2063.3
Kiev, Frankfurt, 1170.3
Kiev, Palermo, 1559.5
Kiev, 'Adan, 3977.1
Kiev, Amravati, 4860.6
Kiev, Gazzah, 1827.0
Kiev, Krasnodar, 573.8
Kiev, Wrocaw, 714.6
Kiev, Asmara, 3138.8
Kiev, Mersin, 1134.9
Kiev, Izhevsk, 1239.3
Kiev, Ulyanovsk, 927.1
Kiev, Oshogbo, 4983.4
Kiev, Jos, 4423.8
Kiev, al-'Ayn, 2840.2
Kiev, Bikaner, 4038.0
Kiev, Orumiyeh, 1394.1
Kiev, Diyarbakr, 1179.4
Kiev, Yaroslavl, 748.2
Kiev, Chisinau, 290.1
Kiev, Djibouti, 3777.8
Kiev, Stuttgart, 1107.4
Kiev, Rotterdam, 1300.5
Kiev, Kisangani, 5147.8
Kiev, Irkutsk, 4482.7
Kiev, Shihezi, 3746.3
Kiev, Bhavnagar, 4411.6
Kiev, Port Said, 1803.9
Kiev, Genoa, 1358.3
Kiev, Dortmund, 1129.8
Kiev, Barnaul, 3189.7
Kiev, Eskisehir, 903.7
Kiev, Warangal, 4756.3
Kiev, Zahedan, 2698.5
Kiev, Essen, 1225.8
Kiev, Dusseldorf, 1163.3
Kiev, Glasgow, 1802.3
Kiev, Meknes, 2623.3
Kiev, Sargodha, 3511.2
Kiev, Resht, 1574.8
Kiev, Helsinki, 819.6
Kiev, Malaga, 2667.8
Kiev, Ife, 4680.8
Kiev, at-Ta'if, 3041.8
Kiev, Poznan, 718.5
Kiev, Bangui, 4988.1
Kiev, Shiliguri, 5372.3
Kiev, Kolhapur, 5006.8
Kiev, Ulhasnagar, 4389.7
Kiev, Bremen, 1141.5
Kiev, Vilnius, 408.3
Kiev, Agadir, 3212.4
Kiev, Ajmer, 3717.6
Kiev, Orenburg, 1372.8
Kiev, Novokuznetsk, 3163.6
Kiev, Sangli-Miraj, 5031.7
Kiev, Dehra Dun, 3860.1
Kiev, Nanded, 4546.4
Kiev, Suez, 1915.2
Kiev, Tyumen, 1951.3
Kiev, Ta'izz, 3437.9
Kiev, Naberezhnyye Chelny, 1245.1
Kiev, Kerman, 2669.7
Kiev, Garoua, 4487.4
Kiev, Jamnagar, 4085.0
Kiev, Jammu, 3397.5
Kiev, Gulbarga, 5384.0
Kiev, Hanover, 1062.1
Kiev, Bahawalpur, 3810.2
Kiev, Goteborg, 1162.1
Kiev, Ryazan, 553.7
Kiev, Lipetsk, 503.9
Kiev, Dresden, 968.9
Kiev, Saharanpur, 3685.1
Kiev, Hamah, 1434.9
Kiev, Niyala, 3760.5
Kiev, al-Hillah, 1913.8
Kiev, Leipzig, 1038.5
Kiev, Mykolayiv, 263.3
Kiev, Tabuk, 2068.1
Kiev, Nuremberg, 1081.1
Luanda, Dakar, 4010.0
Luanda, Umm Durman, 2894.9
Luanda, Kano, 2057.2
Luanda, Accra, 1664.0
Luanda, Benin, 1342.8
Luanda, Khartoum, 2955.8
Luanda, Algiers, 4906.8
Luanda, Johannesburg, 1884.8
Luanda, Bayrut, 4382.6
Luanda, Douala, 1093.0
Luanda, Kaduna, 1784.8
Luanda, Port Harcourt, 1159.9
Luanda, San'a, 3563.9
Luanda, Conakry, 2936.7
Luanda, Kumasi, 1705.2
Luanda, Rabat, 4454.4
Luanda, Soweto, 1959.1
Luanda, Yaounde, 966.3
Luanda, Aleppo, 5060.3
Luanda, Bamako, 2519.4
Luanda, Harare, 1638.8
Luanda, Pretoria, 1952.9
Luanda, Lubumbashi, 1129.2
Luanda, Muqdisho, 3090.1
Luanda, Damascus, 4576.2
Luanda, Antananarivo, 3023.1
Luanda, Recife, 5188.1
Luanda, Kampala, 1904.2
Luanda, Lome, 1663.3
Luanda, Mbuji-Mayi, 888.5
Luanda, Aba, 1171.0
Luanda, Mecca, 3746.1
Luanda, Adana, 4944.7
Luanda, Lusaka, 1435.6
Luanda, Ouagadougou, 2339.3
Luanda, Tripoli, 3763.6
Luanda, Brazzaville, 395.5
Luanda, Monrovia, 2727.3
Luanda, 'Amman, 4336.1
Luanda, Abuja, 1727.8
Luanda, Port Elizabeth, 2737.2
Luanda, Maputo, 2453.5
Luanda, Maceio, 4471.1
Luanda, Maiduguri, 1857.0
Luanda, Shubra-El-Khema, 4326.9
Luanda, al-Madinah, 4120.6
Luanda, Ilorin, 1557.0
Luanda, Fez, 4950.5
Luanda, Konya, 4847.6
Luanda, Naples, 5082.4
Luanda, Kolwezi, 1133.8
Luanda, Niamey, 2438.1
Luanda, Kigali, 1646.5
Luanda, al-Hartum Bahri, 3131.4
Luanda, Marrakesh, 4868.7
Luanda, Mombasa, 2589.1
Luanda, Lilongwe, 1869.9
Luanda, Warri, 1374.8
Luanda, Valencia (Spain), 5201.3
Luanda, ad-Dammam, 5422.5
Luanda, Pietermaritzburg, 2493.9
Luanda, Hims, 4613.2
Luanda, Onitsha, 1295.0
Luanda, Freetown, 2753.2
Luanda, Natal, 4453.2
Luanda, an-Najaf, 5370.3
Luanda, Antalya, 4500.9
Luanda, Jaboatao, 4570.2
Luanda, Nouakchott, 3936.5
Luanda, Akure, 1685.1
Luanda, N'Djamena, 1692.2
Luanda, Athens, 4668.9
Luanda, Jerusalem, 4691.7
Luanda, Abeokuta, 1583.4
Luanda, Tunis, 4830.2
Luanda, Cotonou, 1586.4
Luanda, Blantyre, 1940.3
Luanda, Bulawayo, 1586.7
Luanda, Tangier, 4432.0
Luanda, Libreville, 854.4
Luanda, Sevilla, 5061.1
Luanda, Matola, 2422.1
Luanda, Benghazi, 3823.1
Luanda, Joao Pessoa, 4401.9
Luanda, Wahran, 4273.2
Luanda, Enugu, 1531.7
Luanda, Zaria, 1669.8
Luanda, Pointe Noire, 306.3
Luanda, Palermo, 4341.0
Luanda, 'Adan, 3951.7
Luanda, Gazzah, 4332.1
Luanda, Asmara, 3113.2
Luanda, Benoni, 1885.8
Luanda, Mersin, 4665.6
Luanda, Bouake, 2094.4
Luanda, Oshogbo, 1704.7
Luanda, Jos, 1662.6
Luanda, Djibouti, 3478.2
Luanda, Kisangani, 1232.7
Luanda, Port Said, 4123.8
Luanda, Meknes, 4535.3
Luanda, Malaga, 5303.7
Luanda, Ife, 1689.4
Luanda, at-Ta'if, 3584.6
Luanda, Bloemfontein, 2153.7
Luanda, Bangui, 1146.2
Luanda, Welkom, 1970.9
Luanda, Tembisa, 1932.3
Luanda, Agadir, 4211.9
Luanda, Suez, 4503.1
Luanda, Mwanza, 1734.3
Luanda, Ta'izz, 3513.1
Luanda, Garoua, 1593.2
Luanda, Aracaju, 4926.3
Luanda, Hamah, 4711.6
Luanda, Niyala, 2273.9
Luanda, Boma, 242.0
Luanda, Kananga, 802.7
Luanda, Tabuk, 4201.0
Inchon, Kabul, 4659.0
Inchon, Taegu, 160.0
Inchon, Nagpur, 4078.8
Inchon, Surabaya, 4539.8
Inchon, Nagoya, 727.2
Inchon, Shijiazhuang, 809.3
Inchon, Changsha, 1160.6
Inchon, Jinan, 611.5
Inchon, Tashkent, 3990.1
Inchon, Dalian, 345.6
Inchon, Jilin, 520.5
Inchon, Nanchang, 989.9
Inchon, Zhengzhou, 874.3
Inchon, Jiulong, 1668.3
Inchon, Sapporo, 1042.2
Inchon, Hangzhou, 685.1
Inchon, Rawalpindi, 4233.4
Inchon, Xinyang, 890.4
Inchon, Medan, 4184.1
Inchon, Indore, 4637.4
Inchon, Patna, 3221.0
Inchon, Bhopal, 4433.3
Inchon, Qingdao, 450.4
Inchon, Thana, 4983.9
Inchon, Bekasi, 4600.8
Inchon, Ludhiana, 4343.6
Inchon, Bandung, 5134.9
Inchon, Tangshan, 525.9
Inchon, Agra, 3901.1
Inchon, Urumqi, 2805.3
Inchon, Davao, 2960.5
Inchon, Kobe, 576.4
Inchon, Multan, 4352.4
Inchon, Ha Noi, 2013.8
Inchon, Gaoxiong, 1463.0
Inchon, Hyderabad (Pakistan), 4986.3
Inchon, Suzhou, 637.1
Inchon, Vadodara, 5145.0
Inchon, Gujranwala, 4117.5
Inchon, Pimpri, 4763.9
Inchon, Kyoto, 660.6
Inchon, Tangerang, 4806.8
Inchon, Nashik, 4819.2
Inchon, Kuala Lumpur, 3765.9
Inchon, Fukuoka, 436.9
Inchon, Taejon, 101.4
Inchon, Lanzhou, 1636.8
Inchon, Shantou, 1503.5
Inchon, Koyang, 22.2
Inchon, Hefei, 808.8
Inchon, Novosibirsk, 3176.2
Inchon, Makasar, 4083.4
Inchon, Narayanganj, 3248.1
Inchon, Faridabad, 3818.7
Inchon, Fushun, 423.8
Inchon, Phnum Penh, 2959.0
Inchon, Luoyang, 903.3
Inchon, Khulna, 3128.4
Inchon, Depok, 5134.9
Inchon, Ghaziabad, 4032.7
Inchon, Handan, 731.3
Inchon, Kawasaki, 963.5
Inchon, Kwangju, 191.3
Inchon, Peshawar, 4114.9
Inchon, Rajkot, 4729.0
Inchon, Suwon, 31.5
Inchon, Mandalay, 2826.4
Inchon, Almaty, 3718.0
Inchon, Mirat, 3679.1
Inchon, Baotou, 1158.9
Inchon, Rongcheng, 1433.2
Inchon, Kalyan, 4980.7
Inchon, Xianggangdao, 1486.5
Inchon, Yekaterinburg, 4494.9
Inchon, Semarang, 4383.0
Inchon, Xuzhou, 729.7
Inchon, Palembang, 4195.5
Inchon, Fuzhou, 1137.9
Inchon, Saitama, 930.8
Inchon, Shenzhen, 1594.5
Inchon, Anshan, 400.9
Inchon, Varanasi, 3519.4
Inchon, Guiyang, 1737.6
Inchon, Wuxi, 617.8
Inchon, Subang Jaya, 3760.3
Inchon, Hiroshima, 480.9
Inchon, Amritsar, 4109.2
Inchon, Huainan, 785.5
Inchon, Aurangabad, 4819.7
Inchon, Omsk, 4054.2
Inchon, Navi Mumbai, 5287.7
Inchon, Allahabad, 4156.7
Inchon, Sholapur, 4971.9
Inchon, Xianyang, 1186.4
Inchon, Baoding, 651.5
Inchon, Kunming, 2232.9
Inchon, Taizhong, 1313.7
Inchon, Datong, 843.1
Inchon, Jabalpur, 4190.7
Inchon, Visakhapatnam, 4255.5
Inchon, Srinagar, 3809.8
Inchon, Benxi, 325.9
Inchon, Chelyabinsk, 4679.6
Inchon, Haora, 3269.3
Inchon, Sendai, 852.6
Inchon, Ranchi, 3316.3
Inchon, Songnam, 32.3
Inchon, Ufa, 5003.9
Inchon, Klang, 3846.6
Inchon, Chandigarh, 4013.9
Inchon, Jodhpur, 4275.5
Inchon, Kitakyushu, 407.3
Inchon, Huaibei, 671.9
Inchon, Perm, 5340.5
Inchon, Changzhou, 593.0
Inchon, Guwahati, 2719.9
Inchon, Vijayawada, 4815.2
Inchon, Ulsan, 245.9
Inchon, Chiba, 918.6
Inchon, Padang, 4449.0
Inchon, Gwalior, 4067.3
Inchon, Biskek, 3903.6
Inchon, Kathmandu, 3641.9
Inchon, Qiqihar, 890.5
Inchon, Ulaanbaatar, 1629.7
Inchon, Krasnoyarsk, 2568.4
Inchon, Bandar Lampung, 5018.5
Inchon, Pingdingshan, 1027.3
Inchon, Hubli, 4982.4
Inchon, Wenzhou, 865.4
Inchon, Johor Bahru, 4427.5
Inchon, Jalandhar, 4129.2
Inchon, Taian, 674.6
Inchon, Mira Bhayandar, 4914.9
Inchon, Salem, 5043.5
Inchon, Bhubaneswar, 3562.0
